K,c_0,bc,met_station
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,192
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,136
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,143
0,0,FALSE,159
0,0,FALSE,159
0,0,FALSE,159
